section,group,name,url,description,tags,stars,last_push,line
Courses,,CS 61C,http://www-inst.eecs.berkeley.edu/~cs61c/sp15/,Great Ideas in Computer Architecture (Machine Structures) UC Berkeley.,,,,37
Courses,,Lecture Videos,https://archive.org/details/ucberkeley-webcast-PL-XXv-cvA_iCl2-D-FS5mk0jFF6cYSJs_?sort=titleSorter,,,,,39
Courses,,Lecture Notes,http://www-inst.eecs.berkeley.edu/~cs61c/sp15/#Calendar,,,,,40
Courses,,Resources,http://www-inst.eecs.berkeley.edu/~cs61c/sp15/#Resources,,,,,41
Courses,,Old Exams,https://hkn.eecs.berkeley.edu/exams/course/CS/61C,,,,,42
Courses,,CS 107,https://courseware.stanford.edu/pg/courses/lectures/371747,Computer Organization & Systems Stanford University.,,,,43
Courses,,Lecture Videos,https://www.youtube.com/playlist?list=PL08D9FA018A965057&spfreload=10,,,,,45
Courses,,Assignments,https://web.stanford.edu/class/cs107/assignments.html,,,,,46
Courses,,CS 140,https://web.stanford.edu/~ouster/cgi-bin/cs140-spring14/lectures.php,Operating Systems Stanford University.,,,,47
Courses,,Assignments,https://web.stanford.edu/~ouster/cgi-bin/cs140-spring14/projects.php,,,,,50
Courses,,6.004,https://6004.mit.edu/,Computation Structures MIT.,,,,51
Courses,,Youtube Playlist,https://www.youtube.com/watch?v=9DWlqtsNGV0&index=1&list=PLmP5iIyVnKPQ-cO_EENdUgEdlRf0u5LYa,,,,,53
Courses,,Lecture Notes,https://computationstructures.org/notes/tradeoffs/notes.html,,,,,54
Courses,,Labs-Assignments,https://computationstructures.org/exercises/cmos/lab.html,,,,,55
Courses,,CS 162,https://cs162.eecs.berkeley.edu/,Operating Systems and Systems Programming UC Berkeley.,,,,56
Courses,,David Culler,https://www.cs.berkeley.edu/~culler/,"Operating Systems course by the Chair of EECS, UC Berkeley .",,,,58
Courses,,Lecture Videos,https://archive.org/details/ucberkeley-webcast-PL-XXv-cvA_iBDyz-ba4yDskqMDY6A1w_c,Spring 2015 lectures.,,,,59
Courses,,Lecture Notes,https://inst.eecs.berkeley.edu/~cs162/sp15/,Spring 2015 lectures.,,,,60
Courses,,CS 168,https://inst.eecs.berkeley.edu/~cs168/fa14/,Introduction to the Internet: Architecture and Protocols UC Berkeley.,,,,61
Courses,,Lecture Notes & Assignments,https://inst.eecs.berkeley.edu/~cs168/fa14/class.html,,,,,63
Courses,,CS 179,http://courses.cms.caltech.edu/cs179/,GPU Programming Caltech.,,,,65
Courses,,CS 186,https://sites.google.com/site/cs186spring2015/,Introduction to Database Systems UC Berkeley.,,,,69
Courses,,Lecture Videos,https://archive.org/details/ucberkeley-webcast-PL-XXv-cvA_iBVK2QzAV-R7NMA1ZkaiR2y,,,,,71
Courses,,Lecture Notes,https://sites.google.com/site/cs186fall2013/section-notes,,,,,72
Courses,,Projects,https://sites.google.com/site/cs186fall2013/homeworks,,,,,73
Courses,,CS 241,https://courses.engr.illinois.edu/cs241/sp2016/index.html,"Systems Programming (Spring 2016) Univ of Illinois, Urbana-Champaign.",,,,74
Courses,,Assignments,https://courses.engr.illinois.edu/cs241/sp2016/mps.html,,,,,76
Courses,,Labs,https://courses.engr.illinois.edu/cs241/sp2016/labs.html,,,,,77
Courses,,Github Page,https://angrave.github.io/sys/#,,,,,78
Courses,,Crowd Sourced Book,https://github.com/angrave/SystemProgramming/wiki,,,,,79
Courses,,CS 425,https://courses.engr.illinois.edu/cs425/fa2016/index.html,"Distributed Systems Univ of Illinois, Urbana-Champaign.",,,,80
Courses,,Lectures,https://courses.engr.illinois.edu/cs425/fa2016/lectures.html,,,,,82
Courses,,Assignments,https://courses.engr.illinois.edu/cs425/fa2016/assignments.html,,,,,83
Courses,,CS 452,http://www.cgl.uwaterloo.ca/~wmcowan/teaching/cs452/s12/,Real-Time Programming University of Waterloo.,,,,84
Courses,,Assignments,http://www.cgl.uwaterloo.ca/~wmcowan/teaching/cs452/s12/assignments/index.html,,,,,86
Courses,,Lecture notes,http://www.cgl.uwaterloo.ca/~wmcowan/teaching/cs452/s12/notes/index.html,,,,,87
Courses,,CS 2043,https://www.cs.cornell.edu/courses/CS2043/2014sp/,Unix Tools & Scripting Cornell University.,,,,88
Courses,,CS 3410,https://www.cs.cornell.edu/courses/cs3410/2016fa/,Computer System Organization and Programming Cornell University.,,,,93
Courses,,Lectures,https://www.cs.cornell.edu/courses/CS3410/2014sp/schedule.html,,,,,95
Courses,,CS 4410,https://www.cs.cornell.edu/courses/CS4410/2014fa/,Operating Systems Cornell University.,,,,97
